ts_ns,side,price,qty
1758411731065595796,BUY,127.51,5014
1758411731065696778,BUY,127.51,5014
1758411731065696778,SELL,127.53,5014
1758411731066066916,BUY,127.52,10
1758411731066066916,BUY,127.51,5014
1758411731066066916,SELL,127.53,5014
1758411731066139200,BUY,127.52,10
1758411731066139200,BUY,127.51,5014
1758411731066139200,SELL,127.53,5014
1758411731066227726,BUY,127.52,10
1758411731066227726,BUY,127.51,5014
1758411731066227726,BUY,127.492,4960
1758411731066227726,SELL,127.53,5014
1758411731066349647,BUY,127.51,5014
1758411731066349647,BUY,127.492,4960
1758411731066349647,SELL,127.512,4950
1758411731066349647,SELL,127.53,5014
1758411731066470781,BUY,127.51,5014
1758411731066470781,BUY,127.502,10
1758411731066470781,BUY,127.492,4960
1758411731066470781,SELL,127.512,4950
1758411731066470781,SELL,127.53,5014
1758411731066530480,BUY,127.51,5014
1758411731066530480,BUY,127.502,10
1758411731066530480,BUY,127.492,4960
1758411731066530480,SELL,127.512,4950
1758411731066530480,SELL,127.53,5014
1758411731066597393,BUY,127.51,5014
1758411731066597393,BUY,127.502,10
1758411731066597393,BUY,127.492,4960
1758411731066597393,BUY,127.44,5005
1758411731066597393,SELL,127.512,4950
1758411731066597393,SELL,127.53,5014
1758411731066676569,BUY,127.51,9
1758411731066676569,BUY,127.502,10
1758411731066676569,BUY,127.492,4960
1758411731066676569,BUY,127.44,5005
1758411731066676569,SELL,127.512,4950
1758411731066676569,SELL,127.53,5014
1758411731066786907,BUY,127.51,9
1758411731066786907,BUY,127.502,10
1758411731066786907,BUY,127.492,4960
1758411731066786907,BUY,127.45,10
1758411731066786907,BUY,127.44,5005
1758411731066786907,SELL,127.512,4950
1758411731066786907,SELL,127.53,5014
1758411731066842522,BUY,127.51,9
1758411731066842522,BUY,127.502,10
1758411731066842522,BUY,127.492,4960
1758411731066842522,BUY,127.45,10
1758411731066842522,BUY,127.44,5005
1758411731066842522,SELL,127.512,4950
1758411731066842522,SELL,127.53,5014
1758411731066921678,BUY,127.51,9
1758411731066921678,BUY,127.502,10
1758411731066921678,BUY,127.497,4981
1758411731066921678,BUY,127.492,4960
1758411731066921678,BUY,127.45,10
1758411731066921678,BUY,127.44,5005
1758411731066921678,SELL,127.512,4950
1758411731066921678,SELL,127.53,5014
1758411731067012164,BUY,127.51,9
1758411731067012164,BUY,127.502,10
1758411731067012164,BUY,127.497,4981
1758411731067012164,BUY,127.492,4960
1758411731067012164,BUY,127.45,10
1758411731067012164,BUY,127.44,5005
1758411731067012164,SELL,127.512,4950
1758411731067012164,SELL,127.517,4981
1758411731067012164,SELL,127.53,5014
1758411731067108487,BUY,127.51,9
1758411731067108487,BUY,127.507,10
1758411731067108487,BUY,127.502,10
1758411731067108487,BUY,127.497,4981
1758411731067108487,BUY,127.492,4960
1758411731067108487,BUY,127.45,10
1758411731067108487,BUY,127.44,5005
1758411731067108487,SELL,127.512,4950
1758411731067108487,SELL,127.517,4981
1758411731067108487,SELL,127.53,5014
1758411731067178493,BUY,127.51,9
1758411731067178493,BUY,127.507,10
1758411731067178493,BUY,127.502,10
1758411731067178493,BUY,127.497,4981
1758411731067178493,BUY,127.492,4960
1758411731067178493,BUY,127.45,10
1758411731067178493,BUY,127.44,5005
1758411731067178493,SELL,127.512,4950
1758411731067178493,SELL,127.517,4981
1758411731067178493,SELL,127.53,5014
1758411731067263360,BUY,127.51,9
1758411731067263360,BUY,127.507,10
1758411731067263360,BUY,127.502,10
1758411731067263360,BUY,127.497,4981
1758411731067263360,BUY,127.492,4960
1758411731067263360,BUY,127.45,10
1758411731067263360,BUY,127.44,5005
1758411731067263360,BUY,127.408,5066
1758411731067263360,SELL,127.512,4950
1758411731067263360,SELL,127.517,4981
1758411731067263360,SELL,127.53,5014
1758411731067404044,BUY,127.492,4904
1758411731067404044,BUY,127.45,10
1758411731067404044,BUY,127.44,5005
1758411731067404044,BUY,127.408,5066
1758411731067404044,SELL,127.512,4950
1758411731067404044,SELL,127.517,4981
1758411731067404044,SELL,127.53,5014
1758411731067488371,BUY,127.492,4904
1758411731067488371,BUY,127.45,10
1758411731067488371,BUY,127.44,5005
1758411731067488371,BUY,127.418,10
1758411731067488371,BUY,127.408,5066
1758411731067488371,SELL,127.512,4950
1758411731067488371,SELL,127.517,4981
1758411731067488371,SELL,127.53,5014
1758411731067554402,BUY,127.492,4904
1758411731067554402,BUY,127.45,10
1758411731067554402,BUY,127.44,5005
1758411731067554402,BUY,127.418,10
1758411731067554402,BUY,127.408,5066
1758411731067554402,SELL,127.512,4950
1758411731067554402,SELL,127.517,4981
1758411731067554402,SELL,127.53,5014
1758411731067622036,BUY,127.492,4904
1758411731067622036,BUY,127.465,4831
1758411731067622036,BUY,127.45,10
1758411731067622036,BUY,127.44,5005
1758411731067622036,BUY,127.418,10
1758411731067622036,BUY,127.408,5066
1758411731067622036,SELL,127.512,4950
1758411731067622036,SELL,127.517,4981
1758411731067622036,SELL,127.53,5014
1758411731067699905,BUY,127.492,73
1758411731067699905,BUY,127.465,4831
1758411731067699905,BUY,127.45,10
1758411731067699905,BUY,127.44,5005
1758411731067699905,BUY,127.418,10
1758411731067699905,BUY,127.408,5066
1758411731067699905,SELL,127.512,4950
1758411731067699905,SELL,127.517,4981
1758411731067699905,SELL,127.53,5014
1758411731067800578,BUY,127.492,73
1758411731067800578,BUY,127.475,10
1758411731067800578,BUY,127.465,4831
1758411731067800578,BUY,127.45,10
1758411731067800578,BUY,127.44,5005
1758411731067800578,BUY,127.418,10
1758411731067800578,BUY,127.408,5066
1758411731067800578,SELL,127.512,4950
1758411731067800578,SELL,127.517,4981
1758411731067800578,SELL,127.53,5014
1758411731067878416,BUY,127.492,73
1758411731067878416,BUY,127.475,10
1758411731067878416,BUY,127.465,4831
1758411731067878416,BUY,127.45,10
1758411731067878416,BUY,127.44,5005
1758411731067878416,BUY,127.418,10
1758411731067878416,BUY,127.408,5066
1758411731067878416,SELL,127.512,4950
1758411731067878416,SELL,127.517,4981
1758411731067878416,SELL,127.53,5014
1758411731067959371,BUY,127.492,73
1758411731067959371,BUY,127.475,10
1758411731067959371,BUY,127.465,4831
1758411731067959371,BUY,127.46,5057
1758411731067959371,BUY,127.45,10
1758411731067959371,BUY,127.44,5005
1758411731067959371,BUY,127.418,10
1758411731067959371,BUY,127.408,5066
1758411731067959371,SELL,127.512,4950
1758411731067959371,SELL,127.517,4981
1758411731067959371,SELL,127.53,5014
1758411731068054173,BUY,127.475,10
1758411731068054173,BUY,127.465,4831
1758411731068054173,BUY,127.46,5057
1758411731068054173,BUY,127.45,10
1758411731068054173,BUY,127.44,5005
1758411731068054173,BUY,127.418,10
1758411731068054173,BUY,127.408,5066
1758411731068054173,SELL,127.48,4984
1758411731068054173,SELL,127.512,4950
1758411731068054173,SELL,127.517,4981
1758411731068054173,SELL,127.53,5014
1758411731068162630,BUY,127.475,10
1758411731068162630,BUY,127.47,10
1758411731068162630,BUY,127.465,4831
1758411731068162630,BUY,127.46,5057
1758411731068162630,BUY,127.45,10
1758411731068162630,BUY,127.44,5005
1758411731068162630,BUY,127.418,10
1758411731068162630,BUY,127.408,5066
1758411731068162630,SELL,127.48,4984
1758411731068162630,SELL,127.512,4950
1758411731068162630,SELL,127.517,4981
1758411731068162630,SELL,127.53,5014
1758411731068253150,BUY,127.475,10
1758411731068253150,BUY,127.47,10
1758411731068253150,BUY,127.465,4831
1758411731068253150,BUY,127.46,5057
1758411731068253150,BUY,127.45,10
1758411731068253150,BUY,127.44,5005
1758411731068253150,BUY,127.418,10
1758411731068253150,BUY,127.408,5066
1758411731068253150,SELL,127.48,4984
1758411731068253150,SELL,127.512,4950
1758411731068253150,SELL,127.517,4981
1758411731068253150,SELL,127.53,5014
1758411731068362466,BUY,127.475,10
1758411731068362466,BUY,127.47,10
1758411731068362466,BUY,127.465,4831
1758411731068362466,BUY,127.46,5057
1758411731068362466,BUY,127.45,10
1758411731068362466,BUY,127.44,5005
1758411731068362466,BUY,127.418,10
1758411731068362466,BUY,127.408,5066
1758411731068362466,SELL,127.512,4889
1758411731068362466,SELL,127.517,4981
1758411731068362466,SELL,127.53,5014
1758411731068457433,BUY,127.475,10
1758411731068457433,BUY,127.47,10
1758411731068457433,BUY,127.465,4831
1758411731068457433,BUY,127.46,5057
1758411731068457433,BUY,127.45,10
1758411731068457433,BUY,127.44,5005
1758411731068457433,BUY,127.418,10
1758411731068457433,BUY,127.408,5066
1758411731068457433,SELL,127.512,4889
1758411731068457433,SELL,127.517,4981
1758411731068457433,SELL,127.53,5014
1758411731068457433,SELL,127.546,5045
1758411731068616778,BUY,127.475,10
1758411731068616778,BUY,127.47,10
1758411731068616778,BUY,127.465,4831
1758411731068616778,BUY,127.46,5057
1758411731068616778,BUY,127.45,10
1758411731068616778,BUY,127.44,5005
1758411731068616778,BUY,127.418,10
1758411731068616778,BUY,127.408,5066
1758411731068616778,SELL,127.512,4879
1758411731068616778,SELL,127.517,4981
1758411731068616778,SELL,127.53,5014
1758411731068616778,SELL,127.546,5045
1758411731068694092,BUY,127.475,10
1758411731068694092,BUY,127.47,10
1758411731068694092,BUY,127.465,4831
1758411731068694092,BUY,127.46,5057
1758411731068694092,BUY,127.45,10
1758411731068694092,BUY,127.44,5005
1758411731068694092,BUY,127.418,10
1758411731068694092,BUY,127.408,5066
1758411731068694092,SELL,127.512,4879
1758411731068694092,SELL,127.517,4981
1758411731068694092,SELL,127.53,5014
1758411731068694092,SELL,127.546,5045
1758411731068788536,BUY,127.475,10
1758411731068788536,BUY,127.47,10
1758411731068788536,BUY,127.468,4916
1758411731068788536,BUY,127.465,4831
1758411731068788536,BUY,127.46,5057
1758411731068788536,BUY,127.45,10
1758411731068788536,BUY,127.44,5005
1758411731068788536,BUY,127.418,10
1758411731068788536,BUY,127.408,5066
1758411731068788536,SELL,127.512,4879
1758411731068788536,SELL,127.517,4981
1758411731068788536,SELL,127.53,5014
1758411731068788536,SELL,127.546,5045
1758411731068885019,BUY,127.475,10
1758411731068885019,BUY,127.47,10
1758411731068885019,BUY,127.468,4916
1758411731068885019,BUY,127.465,4831
1758411731068885019,BUY,127.46,5057
1758411731068885019,BUY,127.45,10
1758411731068885019,BUY,127.44,5005
1758411731068885019,BUY,127.418,10
1758411731068885019,BUY,127.408,5066
1758411731068885019,SELL,127.488,4916
1758411731068885019,SELL,127.512,4879
1758411731068885019,SELL,127.517,4981
1758411731068885019,SELL,127.53,5014
1758411731068885019,SELL,127.546,5045
1758411731069018376,BUY,127.478,10
1758411731069018376,BUY,127.475,10
1758411731069018376,BUY,127.47,10
1758411731069018376,BUY,127.468,4916
1758411731069018376,BUY,127.465,4831
1758411731069018376,BUY,127.46,5057
1758411731069018376,BUY,127.45,10
1758411731069018376,BUY,127.44,5005
1758411731069018376,BUY,127.418,10
1758411731069018376,BUY,127.408,5066
1758411731069018376,SELL,127.488,4916
1758411731069018376,SELL,127.512,4879
1758411731069018376,SELL,127.517,4981
1758411731069018376,SELL,127.53,5014
1758411731069018376,SELL,127.546,5045
1758411731069125679,BUY,127.478,10
1758411731069125679,BUY,127.475,10
1758411731069125679,BUY,127.47,10
1758411731069125679,BUY,127.468,4916
1758411731069125679,BUY,127.465,4831
1758411731069125679,BUY,127.46,5057
1758411731069125679,BUY,127.45,10
1758411731069125679,BUY,127.44,5005
1758411731069125679,BUY,127.418,10
1758411731069125679,BUY,127.408,5066
1758411731069125679,SELL,127.488,4916
1758411731069125679,SELL,127.512,4879
1758411731069125679,SELL,127.517,4981
1758411731069125679,SELL,127.53,5014
1758411731069125679,SELL,127.546,5045
1758411731069233869,BUY,127.478,10
1758411731069233869,BUY,127.475,10
1758411731069233869,BUY,127.47,10
1758411731069233869,BUY,127.468,4916
1758411731069233869,BUY,127.465,4831
1758411731069233869,BUY,127.46,5057
1758411731069233869,BUY,127.453,5035
1758411731069233869,BUY,127.45,10
1758411731069233869,BUY,127.44,5005
1758411731069233869,BUY,127.418,10
1758411731069233869,BUY,127.408,5066
1758411731069233869,SELL,127.488,4916
1758411731069233869,SELL,127.512,4879
1758411731069233869,SELL,127.517,4981
1758411731069233869,SELL,127.53,5014
1758411731069233869,SELL,127.546,5045
1758411731069366274,BUY,127.47,10
1758411731069366274,BUY,127.468,4916
1758411731069366274,BUY,127.465,4831
1758411731069366274,BUY,127.46,5057
1758411731069366274,BUY,127.453,5035
1758411731069366274,BUY,127.45,10
1758411731069366274,BUY,127.44,5005
1758411731069366274,BUY,127.418,10
1758411731069366274,BUY,127.408,5066
1758411731069366274,SELL,127.473,5015
1758411731069366274,SELL,127.488,4916
1758411731069366274,SELL,127.512,4879
1758411731069366274,SELL,127.517,4981
1758411731069366274,SELL,127.53,5014
1758411731069366274,SELL,127.546,5045
1758411731069524101,BUY,127.47,10
1758411731069524101,BUY,127.468,4916
1758411731069524101,BUY,127.465,4831
1758411731069524101,BUY,127.463,10
1758411731069524101,BUY,127.46,5057
1758411731069524101,BUY,127.453,5035
1758411731069524101,BUY,127.45,10
1758411731069524101,BUY,127.44,5005
1758411731069524101,BUY,127.418,10
1758411731069524101,BUY,127.408,5066
1758411731069524101,SELL,127.473,5015
1758411731069524101,SELL,127.488,4916
1758411731069524101,SELL,127.512,4879
1758411731069524101,SELL,127.517,4981
1758411731069524101,SELL,127.53,5014
1758411731069524101,SELL,127.546,5045
1758411731069636307,BUY,127.47,10
1758411731069636307,BUY,127.468,4916
1758411731069636307,BUY,127.465,4831
1758411731069636307,BUY,127.463,10
1758411731069636307,BUY,127.46,5057
1758411731069636307,BUY,127.453,5035
1758411731069636307,BUY,127.45,10
1758411731069636307,BUY,127.44,5005
1758411731069636307,BUY,127.418,10
